mass[GeV]	e_e	mu_mu	tau_tau	nue_nue	numu_numu	nutau_nutau	quarks
0.068	6.082582713126052e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.069	6.172032465606691e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.07	6.261482217806362e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.07100000000000001	6.350931969744577e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.07200000000000001	6.440381721439235e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.07300000000000001	6.529831472906794e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.074	6.619281224162393e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.075	6.708730975219975e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.076	6.798180726092396e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.077	6.887630476791524e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.078	6.977080227328326e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.079	7.066529977712946e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.08	7.155979727954776e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.081	7.245429478062525e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.082	7.334879228044266e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.083	7.424328977907501e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.084	7.513778727659198e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.085	7.603228477305845e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.08600000000000001	7.692678226853473e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.08700000000000001	7.782127976307715e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.08800000000000001	7.87157772567381e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.089	7.961027474956656e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.09	8.050477224160832e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.091	8.139926973290608e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.092	8.229376722349986e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.093	8.31882647134271e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.094	8.408276220272285e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.095	8.497725969142003e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.096	8.587175717954949e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.097	8.67662546671402e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.098	8.766075215421933e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.099	8.85552496408125e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.1	8.944974712694375e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.101	9.03442446126357e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.10200000000000001	9.123874209790971e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.10300000000000001	9.213323958278586e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.10400000000000001	9.302773706728307e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.10500000000000001	9.392223455141924e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.106	9.481673203521123e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.107	9.571122951867497e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.108	9.660572700182554e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.109	9.750022448467716e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.11	9.839472196724327e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.111	9.928921944953667e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.112	1.0018371693156937e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.113	1.0107821441335286e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.114	1.0197271189489789e-09	0.0	0.0	0.0	0.0	0.0	0.0
