mass[GeV]	QCD	chlep	neutrinos	total
0.001	0.0	0.0	3.978873577297383e-05	3.978873577297383e-05
0.002	0.0	5.155601560605856e-05	7.957747154594766e-05	0.00013113348715200623
0.003	0.0	7.915890228226261e-05	0.00011936620731892149	0.0001985251096011841
0.004	0.0	0.00010592990393904923	0.00015915494309189532	0.0002650848470309446
0.005	0.0	0.00013254106620170356	0.00019894367886486914	0.00033148474506657273
0.006	0.0	0.0001591042090862281	0.00023873241463784299	0.0003978366237240711
0.007	0.0	0.00018564890136438814	0.00027852115041081683	0.00046417005177520497
0.008	0.0	0.00021218527940063809	0.00031830988618379065	0.0005304951655844287
0.009000000000000001	0.0	0.00023871746424773384	0.0003580986219567645	0.0005968160862044984
0.010000000000000002	0.0	0.000265247348632263	0.0003978873577297384	0.0006631347063620013
0.011	0.0	0.00029177588560637396	0.0004376760935027121	0.000729451979109086
0.012	0.0	0.0003183035909327594	0.00047746482927568597	0.0007957684202084454
0.013000000000000001	0.0	0.000344830760427081	0.0005172535650486598	0.0008620843254757409
0.014000000000000002	0.0	0.00037135757207961605	0.0005570423008216337	0.0009283998729012497
0.015	0.0	0.000397884137378713	0.0005968310365946075	0.0009947151739733205
0.016	0.0	0.000424410528589792	0.0006366197723675813	0.0010610303009573733
0.017	0.0	0.00045093679395772463	0.0006764085081405551	0.0011273453020982796
0.018000000000000002	0.0	0.0004774629665303093	0.000716197243913529	0.0011936602104438384
0.019000000000000003	0.0	0.0005039890694631994	0.000755985979686503	0.0012599750491497025
0.02	0.0	0.0005305151193094673	0.0007957747154594766	0.0013262898347689439
0.021	0.0	0.0005570411281159304	0.0008355634512324505	0.0013926045793483809
0.022000000000000002	0.0	0.0005835671047919556	0.0008753521870054244	0.00145891929179738
0.023	0.0	0.0006100930560229313	0.000915140922778398	0.0015252339788013295
0.024	0.0	0.0006366189868919724	0.0009549296585513719	0.0015915486454433443
0.025	0.0	0.0006631449013106593	0.0009947183943243459	0.001657863295635005
0.026000000000000002	0.0	0.0006896708023223525	0.0010345071300973197	0.0017241779324196722
0.027000000000000003	0.0	0.0007161966923189731	0.0010742958658702935	0.0017904925581892666
0.028	0.0	0.0007427225731980613	0.0011140846016432673	0.0018568071748413287
0.029	0.0	0.0007692484464780054	0.0011538733374162411	0.0019231217838942467
0.030000000000000002	0.0	0.0007957743133835698	0.001193662073189215	0.001989436386572785
0.031	0.0	0.0008223001749100632	0.0012334508089621888	0.002055750983872252
0.032	0.0	0.0008488260318719694	0.0012732395447351626	0.002122065576607132
0.033	0.0	0.0008753518849401422	0.0013130282805081364	0.0021883801654482785
0.034	0.0	0.0009018777346705108	0.0013528170162811102	0.002254694750951621
0.035	0.0	0.0009284035815264086	0.0013926057520540843	0.002321009333580493
0.036000000000000004	0.0	0.0009549294258960792	0.001432394487827058	0.0023873239137231373
0.037000000000000005	0.0	0.0009814552681064995	0.001472183223600032	0.0024536384917065316
0.038	0.0	0.0010079811084343698	0.0015119719593730055	0.0025199530678073753
0.039	0.0	0.0010345069471149068	0.0015517606951459795	0.0025862676422608866
0.04	0.0	0.001061032784348922	0.0015915494309189531	0.0026525822152678753
0.041	0.0	0.0010875586203085525	0.0016313381666919272	0.0027188967870004797
0.042	0.0	0.001114084455141927	0.001671126902464901	0.002785211357606828
0.043000000000000003	0.0	0.0011406102889769836	0.001710915638237875	0.0028515259272148584
0.044000000000000004	0.0	0.0011671361219246087	0.0017507043740108488	0.0029178404959354573
0.045	0.0	0.0011936619540812308	0.0017904931097838224	0.0029841550638650535
0.046	0.0	0.0012201877855309727	0.001830281845556796	0.003050469631087769
0.047	0.0	0.0012467136163474464	0.00187007058132977	0.0031167841976772167
0.048	0.0	0.001273239446595252	0.0019098593171027439	0.003183098763697996
0.049	0.0	0.0012997652763312407	0.001949648052875718	0.0032494133292069586
0.05	0.0	0.001326291105605578	0.0019894367886486917	0.0033157278942542697
0.051000000000000004	0.0	0.0013528169344626416	0.0020292255244216658	0.0033820424588843073
0.052000000000000005	0.0	0.0013793427629417879	0.0020690142601946394	0.0034483570231364272
0.053000000000000005	0.0	0.0014058685910780006	0.0021088029959676134	0.003514671587045614
0.054	0.0	0.0014323944189024486	0.0021485917317405866	0.003580986150643035
0.055	0.0	0.001458920246442962	0.002188380467513561	0.0036473007139565233
0.056	0.0	0.0014854460737244422	0.0022281692032865346	0.0037136152770109766
0.057	0.0	0.001511971900769215	0.0022679579390595087	0.0037799298398287235
0.058	0.0	0.0015384977275973361	0.0023077466748324823	0.003846244402429818
0.059000000000000004	0.0	0.001565023554226857	0.0023475354106054563	0.003912558964832313
0.060000000000000005	0.0	0.001591549380674053	0.00238732414637843	0.003978873527052483
0.061	0.0	0.0016180752069536257	0.0024271128821514035	0.004045188089105029
0.062	0.0	0.0016446010330788755	0.0024669016179243775	0.0041115026510032526
0.063	0.0	0.0016711268590618572	0.0025066903536973516	0.004177817212759209
0.064	0.0	0.001697652684913513	0.002546479089470325	0.004244131774383838
0.065	0.0	0.00172417851064379	0.002586267825243299	0.00431044633588709
0.066	0.0	0.0017507043362617453	0.002626056561016273	0.004376760897278018
0.067	0.0	0.0017772301617756357	0.002665845296789247	0.004443075458564883
0.068	0.0	0.0018037559871930027	0.0027056340325622204	0.004509390019755223
0.069	0.0	0.0018302818125207382	0.002745422768335195	0.004575704580855933
0.07	0.0	0.001856807637765154	0.0027852115041081685	0.004642019141873323
0.07100000000000001	0.0	0.0018833334629320365	0.0028250002398811425	0.0047083337028131795
