mass[GeV]	e_e	mu_mu	tau_tau	neutrinos	piGamma	total
1.6161616161616161	6.997559406496281e-08	4.7115678716123204e-08	0.0	1.0496436309206987e-07	1.299904934744828e-11	2.2206863492250332e-07
1.6353535353535353	7.080656954293351e-08	4.8128210568301595e-08	0.0	1.0621081490378819e-07	1.4073315586224395e-11	2.2515966833060953e-07
1.6545454545454545	7.163754484452443e-08	4.913889534294994e-08	0.0	1.0745726671550663e-07	1.5251599636340107e-11	2.282489585026173e-07
1.6737373737373737	7.246851997580215e-08	5.014771090044135e-08	0.0	1.0870371852722485e-07	1.6548278000490794e-11	2.3133649768146887e-07
1.692929292929293	7.329949494255916e-08	5.115463991316369e-08	0.0	1.0995017033894327e-07	1.798066287786735e-11	2.3442228585754403e-07
1.7121212121212122	7.413046975032738e-08	5.215966939923874e-08	0.0	1.1119662215066144e-07	1.956983197599e-11	2.3750633113220352e-07
1.7313131313131314	7.496144440439432e-08	5.31627902985011e-08	0.0	1.1244307396238e-07	2.1341802585428623e-11	2.4058865046786086e-07
1.7505050505050506	7.579241890981506e-08	5.41639970868145e-08	0.0	1.1368952577409856e-07	2.3329151914233416e-11	2.4366927092264235e-07
1.7696969696969698	7.662339327142462e-08	5.51632874251889e-08	0.0	1.1493597758581636e-07	2.5573413181111933e-11	2.46748231695611e-07
1.7888888888888888	7.745436749385289e-08	5.6160661840500236e-08	0.0	1.161824293975351e-07	2.812865235377628e-11	2.49825587384242e-07
1.808080808080808	7.828534158153035e-08	5.7156123434912755e-08	0.0	1.1742888120925302e-07	3.106704418048824e-11	2.529014132698766e-07
1.8272727272727272	7.911631553870366e-08	5.814967762140009e-08	0.0	1.1867533302097134e-07	3.4487960215130814e-11	2.5597581414129023e-07
1.8464646464646464	7.994728936944148e-08	5.914133188298191e-08	0.0	1.1992178483268979e-07	3.853367054403131e-11	2.590489397556572e-07
1.8656565656565656	8.077826307764551e-08	6.013109555354291e-08	0.0	1.211682366444079e-07	4.3418484461422756e-11	2.621210137600577e-07
1.8848484848484848	8.16092366670593e-08	6.111897961828552e-08	0.0	1.2241468845612656e-07	4.948834462878373e-11	2.6519239308610016e-07
1.904040404040404	8.244021014127376e-08	6.210499653205433e-08	0.0	1.2366114026784502e-07	5.7360406115212577e-11	2.682637073472883e-07
1.9232323232323232	8.327118350373779e-08	6.308916005393946e-08	0.0	1.2490759207956294e-07	6.832461340567457e-11	2.7133626025064587e-07
1.9424242424242424	8.410215675776435e-08	6.40714850967068e-08	0.0	1.261540438912816e-07	8.598540567518215e-11	2.7441367115142795e-07
1.9616161616161616	8.493312990653495e-08	6.50519875897371e-08	0.0	1.274004957029997e-07	1.2668530408195187e-10	2.775122985033537e-07
1.9808080808080808	8.576410295311002e-08	6.603068435428718e-08	0.0	1.286469475147184e-07	2.213280134601365e-10	2.806630628355758e-07
2.0	8.65950759004304e-08	6.700759298997839e-08	0.0	1.2989339932643644e-07	3.5962392613316987e-10	2.838556921429784e-07
