mass[GeV]	e_e	mu_mu	tau_tau	nue_nue	numu_numu	nutau_nutau	quarks
0.001	0.0	0.0	0.0	1.326291192432461e-05	1.326291192432461e-05	1.326291192432461e-05	0.0
0.002	5.155601560605856e-05	0.0	0.0	2.652582384864922e-05	2.652582384864922e-05	2.652582384864922e-05	0.0
0.003	7.915890228226261e-05	0.0	0.0	3.978873577297383e-05	3.978873577297383e-05	3.978873577297383e-05	0.0
0.004	0.00010592990393904923	0.0	0.0	5.305164769729844e-05	5.305164769729844e-05	5.305164769729844e-05	0.0
0.005	0.00013254106620170356	0.0	0.0	6.631455962162305e-05	6.631455962162305e-05	6.631455962162305e-05	0.0
0.006	0.0001591042090862281	0.0	0.0	7.957747154594766e-05	7.957747154594766e-05	7.957747154594766e-05	0.0
0.007	0.00018564890136438814	0.0	0.0	9.284038347027227e-05	9.284038347027227e-05	9.284038347027227e-05	0.0
0.008	0.00021218527940063809	0.0	0.0	0.00010610329539459688	0.00010610329539459688	0.00010610329539459688	0.0
0.009000000000000001	0.00023871746424773384	0.0	0.0	0.0001193662073189215	0.0001193662073189215	0.0001193662073189215	0.0
0.010000000000000002	0.000265247348632263	0.0	0.0	0.00013262911924324613	0.00013262911924324613	0.00013262911924324613	0.0
0.011	0.00029177588560637396	0.0	0.0	0.0001458920311675707	0.0001458920311675707	0.0001458920311675707	0.0
0.012	0.0003183035909327594	0.0	0.0	0.00015915494309189532	0.00015915494309189532	0.00015915494309189532	0.0
0.013000000000000001	0.000344830760427081	0.0	0.0	0.00017241785501621995	0.00017241785501621995	0.00017241785501621995	0.0
0.014000000000000002	0.00037135757207961605	0.0	0.0	0.00018568076694054457	0.00018568076694054457	0.00018568076694054457	0.0
0.015	0.000397884137378713	0.0	0.0	0.00019894367886486914	0.00019894367886486914	0.00019894367886486914	0.0
0.016	0.000424410528589792	0.0	0.0	0.00021220659078919376	0.00021220659078919376	0.00021220659078919376	0.0
0.017	0.00045093679395772463	0.0	0.0	0.0002254695027135184	0.0002254695027135184	0.0002254695027135184	0.0
0.018000000000000002	0.0004774629665303093	0.0	0.0	0.000238732414637843	0.000238732414637843	0.000238732414637843	0.0
0.019000000000000003	0.0005039890694631994	0.0	0.0	0.00025199532656216764	0.00025199532656216764	0.00025199532656216764	0.0
0.02	0.0005305151193094673	0.0	0.0	0.0002652582384864922	0.0002652582384864922	0.0002652582384864922	0.0
0.021	0.0005570411281159304	0.0	0.0	0.00027852115041081683	0.00027852115041081683	0.00027852115041081683	0.0
0.022000000000000002	0.0005835671047919556	0.0	0.0	0.00029178406233514145	0.00029178406233514145	0.00029178406233514145	0.0
0.023	0.0006100930560229313	0.0	0.0	0.000305046974259466	0.000305046974259466	0.000305046974259466	0.0
0.024	0.0006366189868919724	0.0	0.0	0.00031830988618379065	0.00031830988618379065	0.00031830988618379065	0.0
0.025	0.0006631449013106593	0.0	0.0	0.00033157279810811527	0.00033157279810811527	0.00033157279810811527	0.0
0.026000000000000002	0.0006896708023223525	0.0	0.0	0.0003448357100324399	0.0003448357100324399	0.0003448357100324399	0.0
0.027000000000000003	0.0007161966923189731	0.0	0.0	0.0003580986219567645	0.0003580986219567645	0.0003580986219567645	0.0
0.028	0.0007427225731980613	0.0	0.0	0.0003713615338810891	0.0003713615338810891	0.0003713615338810891	0.0
0.029	0.0007692484464780054	0.0	0.0	0.0003846244458054137	0.0003846244458054137	0.0003846244458054137	0.0
0.030000000000000002	0.0007957743133835698	0.0	0.0	0.00039788735772973834	0.00039788735772973834	0.00039788735772973834	0.0
0.031	0.0008223001749100632	0.0	0.0	0.0004111502696540629	0.0004111502696540629	0.0004111502696540629	0.0
0.032	0.0008488260318719694	0.0	0.0	0.00042441318157838753	0.00042441318157838753	0.00042441318157838753	0.0
0.033	0.0008753518849401422	0.0	0.0	0.00043767609350271215	0.00043767609350271215	0.00043767609350271215	0.0
0.034	0.0009018777346705108	0.0	0.0	0.0004509390054270368	0.0004509390054270368	0.0004509390054270368	0.0
0.035	0.0009284035815264086	0.0	0.0	0.0004642019173513614	0.0004642019173513614	0.0004642019173513614	0.0
0.036000000000000004	0.0009549294258960792	0.0	0.0	0.000477464829275686	0.000477464829275686	0.000477464829275686	0.0
0.037000000000000005	0.0009814552681064995	0.0	0.0	0.0004907277412000107	0.0004907277412000107	0.0004907277412000107	0.0
0.038	0.0010079811084343698	0.0	0.0	0.0005039906531243352	0.0005039906531243352	0.0005039906531243352	0.0
0.039	0.0010345069471149068	0.0	0.0	0.0005172535650486598	0.0005172535650486598	0.0005172535650486598	0.0
0.04	0.001061032784348922	0.0	0.0	0.0005305164769729844	0.0005305164769729844	0.0005305164769729844	0.0
0.041	0.0010875586203085525	0.0	0.0	0.0005437793888973091	0.0005437793888973091	0.0005437793888973091	0.0
0.042	0.001114084455141927	0.0	0.0	0.0005570423008216337	0.0005570423008216337	0.0005570423008216337	0.0
0.043000000000000003	0.0011406102889769836	0.0	0.0	0.0005703052127459583	0.0005703052127459583	0.0005703052127459583	0.0
0.044000000000000004	0.0011671361219246087	0.0	0.0	0.0005835681246702829	0.0005835681246702829	0.0005835681246702829	0.0
0.045	0.0011936619540812308	0.0	0.0	0.0005968310365946075	0.0005968310365946075	0.0005968310365946075	0.0
0.046	0.0012201877855309727	0.0	0.0	0.000610093948518932	0.000610093948518932	0.000610093948518932	0.0
0.047	0.0012467136163474464	0.0	0.0	0.0006233568604432567	0.0006233568604432567	0.0006233568604432567	0.0
