mass[GeV]	DM
0.001	2.354502165328625e-05
0.002	4.70900433065725e-05
0.003	7.063506495985874e-05
0.004	9.4180086613145e-05
0.005	0.00011772510826643125
0.006	0.0001412701299197175
0.007	0.00016481515157300373
0.008	0.00018836017322629
0.009000000000000001	0.00021190519487957623
0.010000000000000002	0.00023545021653286253
0.011	0.00025899523818614874
0.012	0.000282540259839435
0.013000000000000001	0.0003060852814927212
0.014000000000000002	0.0003296303031460075
0.015	0.0003531753247992937
0.016	0.00037672034645258
0.017	0.0004002653681058662
0.018000000000000002	0.00042381038975915247
0.019000000000000003	0.00044735541141243876
0.02	0.000470900433065725
0.021	0.0004944454547190112
0.022000000000000002	0.0005179904763722975
0.023	0.0005415354980255837
0.024	0.00056508051967887
0.025	0.0005886255413321562
0.026000000000000002	0.0006121705629854424
0.027000000000000003	0.0006357155846387287
0.028	0.0006592606062920149
0.029	0.0006828056279453012
0.030000000000000002	0.0007063506495985875
0.031	0.0007298956712518737
0.032	0.00075344069290516
0.033	0.0007769857145584463
0.034	0.0008005307362117325
0.035	0.0008240757578650187
0.036000000000000004	0.0008476207795183049
0.037000000000000005	0.0008711658011715913
0.038	0.0008947108228248774
0.039	0.0009182558444781637
0.04	0.00094180086613145
0.041	0.0009653458877847363
0.042	0.0009888909094380224
0.043000000000000003	0.0010124359310913088
0.044000000000000004	0.001035980952744595
0.045	0.0010595259743978811
0.046	0.0010830709960511673
0.047	0.0011066160177044537
0.048	0.00113016103935774
0.049	0.0011537060610110263
0.05	0.0011772510826643125
0.051000000000000004	0.001200796104317599
0.052000000000000005	0.0012243411259708849
0.053000000000000005	0.0012478861476241713
0.054	0.0012714311692774575
0.055	0.0012949761909307434
0.056	0.0013185212125840298
0.057	0.0013420662342373162
0.058	0.0013656112558906024
0.059000000000000004	0.0013891562775438888
0.060000000000000005	0.001412701299197175
0.061	0.0014362463208504612
0.062	0.0014597913425037474
0.063	0.0014833363641570338
0.064	0.00150688138581032
0.065	0.0015304264074636064
0.066	0.0015539714291168925
0.067	0.0015775164507701787
0.068	0.001601061472423465
0.069	0.0016246064940767509
0.07	0.0016481515157300375
0.07100000000000001	0.001671696537383324
0.07200000000000001	0.0016952415590366099
0.07300000000000001	0.0017187865806898965
0.074	0.0017423316023431822
0.075	0.0017658766239964684
0.076	0.0017894216456497548
0.077	0.001812966667303041
0.078	0.0018365116889563274
0.079	0.0018600567106096136
0.08	0.0018836017322629
0.081	0.0019071467539161862
0.082	0.0019306917755694726
0.083	0.001954236797222758
0.084	0.0019777818188760447
0.085	0.0020013268405293314
0.08600000000000001	0.0020248718621826175
0.08700000000000001	0.0020484168838359037
0.08800000000000001	0.00207196190548919
0.089	0.002095506927142476
0.09	0.0021190519487957623
0.091	0.0021425969704490485
0.092	0.0021661419921023346
0.093	0.0021896870137556213
0.094	0.0022132320354089074
0.095	0.0022367770570621936
0.096	0.00226032207871548
0.097	0.0022838671003687664
0.098	0.0023074121220220526
0.099	0.002330957143675339
0.1	0.002354502165328625
0.101	0.0023780471869819116
0.10200000000000001	0.002401592208635198
0.10300000000000001	0.0024251372302884835
0.10400000000000001	0.0024486822519417697
0.10500000000000001	0.0024722272735950564
0.106	0.002495772295248342
0.107	0.0025193173169016287
0.108	0.002542862338554915
0.109	0.0025664073602082015
0.11	0.002589952381861487
0.111	0.0026134974035147735
0.112	0.0026370424251680596
0.113	0.002660587446821346
0.114	0.0026841324684746324
0.115	0.002707677490127918
0.116	0.002731222511781205
0.117	0.002754767533434491
0.11800000000000001	0.0027783125550877776
0.11900000000000001	0.002801857576741064
0.12000000000000001	0.00282540259839435
0.121	0.0028489476200476357
0.122	0.0028724926417009224
0.123	0.0028960376633542085
0.124	0.0029195826850074947
0.125	0.002943127706660781
0.126	0.0029666727283140675
0.127	0.0029902177499673537
0.128	0.00301376277162064
0.129	0.0030373077932739257
0.13	0.0030608528149272127
0.131	0.003084397836580499
0.132	0.003107942858233785
0.133	0.0031314878798870713
0.134	0.0031550329015403574
0.135	0.0031785779231936436
0.136	0.00320212294484693
0.137	0.003225667966500216
0.138	0.0032492129881535018
0.139	0.003272758009806789
0.14	0.003296303031460075
0.14100000000000001	0.003319848053113361
0.14200000000000002	0.003343393074766648
0.14300000000000002	0.003366938096419934
0.14400000000000002	0.0033904831180732197
0.14500000000000002	0.0034140281397265063
0.146	0.003437573161379792
0.147	0.0034611181830330787
0.148	0.0034846632046863645
0.149	0.0035082082263396507
0.15	0.003531753247992937
0.151	0.0035552982696462226
0.152	0.0035788432912995096
0.153	0.003602388312952796
0.154	0.003625933334606082
0.155	0.0036494783562593686
0.156	0.003673023377912655
0.157	0.003696568399565941
0.158	0.003720113421219227
0.159	0.003743658442872514
0.16	0.0037672034645258
0.161	0.003790748486179086
0.162	0.0038142935078323724
0.163	0.003837838529485659
0.164	0.003861383551138945
0.165	0.0038849285727922313
0.166	0.003908473594445516
0.167	0.003932018616098804
0.168	0.0039555636377520895
0.169	0.003979108659405376
0.17	0.004002653681058663
0.171	0.0040261987027119485
0.17200000000000001	0.004049743724365235
0.17300000000000001	0.004073288746018522
0.17400000000000002	0.0040968337676718074
0.17500000000000002	0.004120378789325094
0.17600000000000002	0.00414392381097838
0.177	0.004167468832631666
0.178	0.004191013854284952
0.179	0.004214558875938238
0.18	0.0042381038975915246
0.181	0.00426164891924481
0.182	0.004285193940898097
0.183	0.0043087389625513835
0.184	0.004332283984204669
0.185	0.004355829005857956
0.186	0.0043793740275112425
0.187	0.004402919049164528
0.188	0.004426464070817815
0.189	0.004450009092471101
0.19	0.004473554114124387
0.191	0.004497099135777674
0.192	0.00452064415743096
0.193	0.004544189179084246
0.194	0.004567734200737533
0.195	0.004591279222390819
0.196	0.004614824244044105
0.197	0.00463836926569739
0.198	0.004661914287350678
0.199	0.0046854593090039625
0.2	0.00470900433065725
0.201	0.004732549352310536
0.202	0.004756094373963823
0.203	0.004779639395617109
0.20400000000000001	0.004803184417270396
0.20500000000000002	0.004826729438923682
0.20600000000000002	0.004850274460576967
0.20700000000000002	0.004873819482230253
0.20800000000000002	0.0048973645038835395
0.20900000000000002	0.004920909525536826
0.21	0.004944454547190113
0.211	0.0049679995688433985
0.212	0.004991544590496684
0.213	0.005015089612149971
0.214	0.0050386346338032574
0.215	0.005062179655456543
0.216	0.00508572467710983
0.217	0.005109269698763116
0.218	0.005132814720416403
0.219	0.005156359742069688
0.22	0.005179904763722974
0.221	0.00520344978537626
0.222	0.005226994807029547
0.223	0.0052505398286828335
0.224	0.005274084850336119
0.225	0.005297629871989406
0.226	0.005321174893642692
0.227	0.005344719915295977
0.228	0.005368264936949265
0.229	0.005391809958602551
0.23	0.005415354980255836
0.231	0.005438900001909124
0.232	0.00546244502356241
0.233	0.005485990045215696
0.234	0.005509535066868982
0.23500000000000001	0.005533080088522269
0.23600000000000002	0.005556625110175555
0.23700000000000002	0.005580170131828841
0.23800000000000002	0.005603715153482128
0.23900000000000002	0.005627260175135414
0.24000000000000002	0.0056508051967887
0.241	0.005674350218441986
0.242	0.0056978952400952715
0.243	0.005721440261748557
0.244	0.005744985283401845
0.245	0.0057685303050551305
0.246	0.005792075326708417
0.247	0.005815620348361703
0.248	0.0058391653700149895
0.249	0.005862710391668276
0.25	0.005886255413321562
0.251	0.0059098004349748485
0.252	0.005933345456628135
0.253	0.005956890478281421
0.254	0.0059804354999347074
0.255	0.006003980521587992
0.256	0.00602752554324128
0.257	0.006051070564894566
0.258	0.006074615586547851
0.259	0.006098160608201139
0.26	0.006121705629854425
0.261	0.00614525065150771
0.262	0.006168795673160998
0.263	0.006192340694814284
0.264	0.00621588571646757
0.265	0.006239430738120857
0.266	0.0062629757597741425
0.267	0.006286520781427429
0.268	0.006310065803080715
0.269	0.006333610824734001
0.27	0.006357155846387287
0.271	0.006380700868040573
0.272	0.00640424588969386
0.273	0.0064277909113471445
0.274	0.006451335933000432
0.275	0.006474880954653719
0.276	0.0064984259763070035
0.277	0.006521970997960291
0.278	0.006545516019613578
0.279	0.006569061041266863
0.28	0.00659260606292015
0.281	0.006616151084573435
0.28200000000000003	0.006639696106226722
0.28300000000000003	0.006663241127880009
0.28400000000000003	0.006686786149533296
0.28500000000000003	0.006710331171186581
0.28600000000000003	0.006733876192839868
0.28700000000000003	0.006757421214493155
0.28800000000000003	0.0067809662361464395
0.28900000000000003	0.006804511257799727
0.29	0.006828056279453012
0.291	0.0068516013011062984
0.292	0.006875146322759584
0.293	0.006898691344412871
0.294	0.0069222363660661574
0.295	0.006945781387719442
0.296	0.006969326409372729
0.297	0.006992871431026015
0.298	0.007016416452679301
0.299	0.007039961474332588
0.3	0.007063506495985874
0.301	0.00708705151763916
0.302	0.007110596539292445
0.303	0.007134141560945733
0.304	0.007157686582599019
0.305	0.007181231604252304
0.306	0.007204776625905592
0.307	0.007228321647558878
0.308	0.007251866669212164
0.309	0.007275411690865451
0.31	0.007298956712518737
0.311	0.007322501734172023
0.312	0.00734604675582531
0.313	0.007369591777478596
0.314	0.007393136799131882
0.315	0.007416681820785169
0.316	0.007440226842438454
0.317	0.007463771864091741
0.318	0.007487316885745028
0.319	0.007510861907398313
0.32	0.0075344069290516
0.321	0.007557951950704887
0.322	0.007581496972358172
0.323	0.007605041994011459
0.324	0.007628587015664745
0.325	0.007652132037318031
0.326	0.007675677058971318
0.327	0.007699222080624604
0.328	0.00772276710227789
0.329	0.007746312123931175
0.33	0.007769857145584463
0.331	0.0077934021672377484
0.332	0.007816947188891032
0.333	0.00784049221054432
0.334	0.007864037232197607
0.335	0.007887582253850894
0.336	0.007911127275504179
0.337	0.007934672297157466
0.338	0.007958217318810752
0.339	0.007981762340464039
0.34	0.008005307362117325
0.341	0.008028852383770612
0.342	0.008052397405423897
0.343	0.008075942427077184
0.34400000000000003	0.00809948744873047
0.34500000000000003	0.008123032470383757
0.34600000000000003	0.008146577492037043
0.34700000000000003	0.008170122513690328
0.34800000000000003	0.008193667535343615
0.34900000000000003	0.008217212556996902
0.35000000000000003	0.008240757578650188
0.35100000000000003	0.008264302600303475
0.35200000000000004	0.00828784762195676
0.353	0.008311392643610046
0.354	0.008334937665263333
0.355	0.008358482686916618
0.356	0.008382027708569904
0.357	0.00840557273022319
0.358	0.008429117751876476
0.359	0.008452662773529762
0.36	0.008476207795183049
0.361	0.008499752816836334
0.362	0.00852329783848962
0.363	0.008546842860142907
0.364	0.008570387881796194
0.365	0.00859393290344948
0.366	0.008617477925102767
0.367	0.008641022946756054
0.368	0.008664567968409339
0.369	0.008688112990062625
0.37	0.008711658011715912
0.371	0.008735203033369198
0.372	0.008758748055022485
0.373	0.00878229307667577
0.374	0.008805838098329057
0.375	0.008829383119982343
0.376	0.00885292814163563
0.377	0.008876473163288916
0.378	0.008900018184942201
0.379	0.008923563206595488
0.38	0.008947108228248775
0.381	0.00897065324990206
0.382	0.008994198271555348
0.383	0.009017743293208634
0.384	0.00904128831486192
0.385	0.009064833336515206
0.386	0.009088378358168493
0.387	0.00911192337982178
0.388	0.009135468401475066
0.389	0.00915901342312835
0.39	0.009182558444781637
0.391	0.009206103466434924
0.392	0.00922964848808821
0.393	0.009253193509741495
0.394	0.00927673853139478
0.395	0.009300283553048067
0.396	0.009323828574701355
0.397	0.00934737359635464
0.398	0.009370918618007925
0.399	0.009394463639661213
0.4	0.0094180086613145
0.401	0.009441553682967785
0.402	0.009465098704621071
0.403	0.009488643726274358
0.404	0.009512188747927646
0.405	0.009535733769580931
0.406	0.009559278791234218
0.40700000000000003	0.009582823812887505
0.40800000000000003	0.009606368834540791
0.40900000000000003	0.009629913856194076
0.41000000000000003	0.009653458877847364
0.41100000000000003	0.009677003899500648
0.41200000000000003	0.009700548921153934
0.41300000000000003	0.00972409394280722
0.41400000000000003	0.009747638964460506
0.41500000000000004	0.009771183986113794
0.41600000000000004	0.009794729007767079
0.41700000000000004	0.009818274029420367
0.418	0.009841819051073652
0.419	0.009865364072726937
0.42	0.009888909094380225
0.421	0.009912454116033509
0.422	0.009935999137686797
0.423	0.009959544159340082
0.424	0.009983089180993368
0.425	0.010006634202646655
0.426	0.010030179224299942
0.427	0.010053724245953227
0.428	0.010077269267606515
0.429	0.0101008142892598
0.43	0.010124359310913086
0.431	0.010147904332566373
0.432	0.01017144935421966
0.433	0.010194994375872946
0.434	0.010218539397526233
0.435	0.010242084419179518
0.436	0.010265629440832806
0.437	0.010289174462486091
0.438	0.010312719484139376
0.439	0.010336264505792662
0.44	0.010359809527445947
0.441	0.010383354549099236
0.442	0.01040689957075252
0.443	0.010430444592405809
0.444	0.010453989614059094
0.445	0.01047753463571238
0.446	0.010501079657365667
0.447	0.010524624679018954
0.448	0.010548169700672239
0.449	0.010571714722325527
0.45	0.010595259743978812
0.451	0.010618804765632098
0.452	0.010642349787285383
0.453	0.010665894808938672
0.454	0.010689439830591955
0.455	0.010712984852245243
0.456	0.01073652987389853
0.457	0.010760074895551815
0.458	0.010783619917205101
0.459	0.01080716493885839
0.46	0.010830709960511673
0.461	0.010854254982164961
0.462	0.010877800003818248
0.463	0.010901345025471534
0.464	0.01092489004712482
0.465	0.010948435068778108
0.466	0.010971980090431393
0.467	0.010995525112084679
0.468	0.011019070133737964
0.46900000000000003	0.011042615155391252
0.47000000000000003	0.011066160177044537
0.47100000000000003	0.011089705198697826
0.47200000000000003	0.01111325022035111
0.47300000000000003	0.011136795242004397
0.47400000000000003	0.011160340263657682
0.47500000000000003	0.011183885285310969
0.47600000000000003	0.011207430306964255
0.47700000000000004	0.01123097532861754
0.47800000000000004	0.011254520350270828
0.47900000000000004	0.011278065371924113
0.48000000000000004	0.0113016103935774
0.481	0.011325155415230685
0.482	0.011348700436883971
0.483	0.011372245458537258
0.484	0.011395790480190543
0.485	0.011419335501843831
0.486	0.011442880523497114
0.487	0.011466425545150403
0.488	0.01148997056680369
0.489	0.011513515588456974
0.49	0.011537060610110261
0.491	0.01156060563176355
0.492	0.011584150653416834
0.493	0.01160769567507012
0.494	0.011631240696723406
0.495	0.011654785718376694
0.496	0.011678330740029979
0.497	0.011701875761683267
0.498	0.011725420783336552
0.499	0.011748965804989837
0.5	0.011772510826643124
0.501	0.01179605584829641
0.502	0.011819600869949697
0.503	0.011843145891602982
0.504	0.01186669091325627
0.505	0.011890235934909555
0.506	0.011913780956562842
0.507	0.011937325978216127
0.508	0.011960870999869415
0.509	0.0119844160215227
0.51	0.012007961043175985
0.511	0.012031506064829273
0.512	0.01205505108648256
0.513	0.012078596108135843
0.514	0.012102141129789133
0.515	0.012125686151442418
0.516	0.012149231173095703
0.517	0.012172776194748991
0.518	0.012196321216402278
0.519	0.01221986623805556
0.52	0.01224341125970885
0.521	0.012266956281362136
0.522	0.01229050130301542
0.523	0.012314046324668709
0.524	0.012337591346321996
0.525	0.012361136367975279
0.526	0.012384681389628569
0.527	0.012408226411281854
0.528	0.01243177143293514
0.529	0.012455316454588423
0.53	0.012478861476241714
0.531	0.012502406497894998
0.532	0.012525951519548285
0.533	0.012549496541201572
0.534	0.012573041562854858
0.535	0.012596586584508141
0.536	0.01262013160616143
0.537	0.012643676627814716
0.538	0.012667221649468001
0.539	0.01269076667112129
0.54	0.012714311692774575
0.541	0.012737856714427861
0.542	0.012761401736081146
0.543	0.012784946757734434
0.544	0.01280849177938772
0.545	0.012832036801041006
0.546	0.012855581822694289
0.547	0.012879126844347579
0.548	0.012902671866000864
0.549	0.012926216887654149
0.55	0.012949761909307437
0.551	0.012973306930960724
