mass[GeV]	DM
0.001	2.0450724406190587e-05
0.002	4.0901448812381174e-05
0.003	6.135217321857176e-05
0.004	8.180289762476235e-05
0.005	0.00010225362203095294
0.006	0.00012270434643714352
0.007	0.0001431550708433341
0.008	0.0001636057952495247
0.009000000000000001	0.0001840565196557153
0.010000000000000002	0.00020450724406190598
0.011	0.00022495796846809646
0.012	0.00024540869287428704
0.013000000000000001	0.00026585941728047766
0.014000000000000002	0.0002863101416866682
0.015	0.0003067608660928588
0.016	0.0003272115904990494
0.017	0.00034766231490524
0.018000000000000002	0.0003681130393114306
0.019000000000000003	0.0003885637637176212
0.02	0.00040901448812381174
0.021	0.0004294652125300024
0.022000000000000002	0.00044991593693619297
0.023	0.0004703666613423835
0.024	0.0004908173857485741
0.025	0.0005112681101547649
0.026000000000000002	0.0005317188345609553
0.027000000000000003	0.0005521695589671459
0.028	0.0005726202833733364
0.029	0.000593071007779527
0.030000000000000002	0.0006135217321857174
0.031	0.0006339724565919083
0.032	0.0006544231809980988
0.033	0.0006748739054042894
0.034	0.00069532462981048
0.035	0.0007157753542166707
0.036000000000000004	0.0007362260786228612
0.037000000000000005	0.0007566768030290519
0.038	0.0007771275274352423
0.039	0.0007975782518414329
0.04	0.0008180289762476235
0.041	0.0008384797006538143
0.042	0.0008589304250600048
0.043000000000000003	0.0008793811494661953
0.044000000000000004	0.0008998318738723859
0.045	0.0009202825982785764
0.046	0.000940733322684767
0.047	0.0009611840470909578
0.048	0.0009816347714971482
0.049	0.0010020854959033388
0.05	0.0010225362203095298
0.051000000000000004	0.00104298694471572
0.052000000000000005	0.0010634376691219106
0.053000000000000005	0.0010838883935281012
0.054	0.0011043391179342916
0.055	0.0011247898423404823
0.056	0.0011452405667466729
0.057	0.0011656912911528635
0.058	0.001186142015559054
0.059000000000000004	0.0012065927399652445
0.060000000000000005	0.001227043464371435
0.061	0.0012474941887776257
0.062	0.0012679449131838166
0.063	0.001288395637590007
0.064	0.0013088463619961976
0.065	0.0013292970864023882
0.066	0.0013497478108085788
0.067	0.0013701985352147696
0.068	0.00139064925962096
0.069	0.0014110999840271506
0.07	0.0014315507084333415
0.07100000000000001	0.0014520014328395319
0.07200000000000001	0.0014724521572457225
0.07300000000000001	0.001492902881651913
0.074	0.0015133536060581033
0.075	0.0015338043304642939
0.076	0.0015542550548704845
0.077	0.0015747057792766751
0.078	0.0015951565036828657
